The Left Hand of Darkness	Ursula K. Le Guin	Science Fiction	1969	https://openlibrary.org/search?q=The+Left+Hand+of+Darkness	literature gender society science-fiction anthropology
The Design of Everyday Things	Don Norman	Technology	1988	https://openlibrary.org/search?q=The+Design+of+Everyday+Things	technology design psychology usability behavior
Designing Data-Intensive Applications	Martin Kleppmann	Technology	2017	https://openlibrary.org/search?q=Designing+Data-Intensive+Applications	technology software data systems engineering
Pachinko	Min Jin Lee	Literature	2017	https://openlibrary.org/search?q=Pachinko+Min+Jin+Lee	literature history korea family migration
The Silk Roads	Peter Frankopan	History	2015	https://openlibrary.org/search?q=The+Silk+Roads+Peter+Frankopan	history trade geopolitics asia europe
The Code Breaker	Walter Isaacson	Science	2021	https://openlibrary.org/search?q=The+Code+Breaker+Walter+Isaacson	science technology biology genetics biography
The Information	James Gleick	Technology	2011	https://openlibrary.org/search?q=The+Information+James+Gleick	technology history information computing communication
Algorithms to Live By	Brian Christian and Tom Griffiths	Psychology	2016	https://openlibrary.org/search?q=Algorithms+to+Live+By	psychology technology decisions algorithms behavior
Thinking, Fast and Slow	Daniel Kahneman	Psychology	2011	https://openlibrary.org/search?q=Thinking+Fast+and+Slow	psychology decisions economics cognition behavior
The Righteous Mind	Jonathan Haidt	Psychology	2012	https://openlibrary.org/search?q=The+Righteous+Mind	psychology morality politics society behavior
Behave	Robert Sapolsky	Psychology	2017	https://openlibrary.org/search?q=Behave+Robert+Sapolsky	psychology biology neuroscience behavior society
Sapiens	Yuval Noah Harari	History	2011	https://openlibrary.org/search?q=Sapiens+Yuval+Noah+Harari	history anthropology society science civilization
The Warmth of Other Suns	Isabel Wilkerson	History	2010	https://openlibrary.org/search?q=The+Warmth+of+Other+Suns	history migration america society biography
SPQR	Mary Beard	History	2015	https://openlibrary.org/search?q=SPQR+Mary+Beard	history rome politics civilization classics
Kindred	Octavia E. Butler	Literature	1979	https://openlibrary.org/search?q=Kindred+Octavia+Butler	literature history science-fiction race america
Never Let Me Go	Kazuo Ishiguro	Literature	2005	https://openlibrary.org/search?q=Never+Let+Me+Go+Kazuo+Ishiguro	literature science-fiction ethics identity society
The Dispossessed	Ursula K. Le Guin	Science Fiction	1974	https://openlibrary.org/search?q=The+Dispossessed	literature politics society science-fiction philosophy
Exhalation	Ted Chiang	Science Fiction	2019	https://openlibrary.org/search?q=Exhalation+Ted+Chiang	literature technology science-fiction philosophy mind
Braiding Sweetgrass	Robin Wall Kimmerer	Nature	2013	https://openlibrary.org/search?q=Braiding+Sweetgrass	nature science indigenous ecology philosophy
The Gene	Siddhartha Mukherjee	Science	2016	https://openlibrary.org/search?q=The+Gene+Siddhartha+Mukherjee	science biology genetics history medicine
Range	David Epstein	Psychology	2019	https://openlibrary.org/search?q=Range+David+Epstein	psychology learning careers science performance
Ways of Seeing	John Berger	Art	1972	https://openlibrary.org/search?q=Ways+of+Seeing+John+Berger	art design culture history perception
Invisible Women	Caroline Criado Perez	Society	2019	https://openlibrary.org/search?q=Invisible+Women+Caroline+Criado+Perez	society data design gender technology
The Dawn of Everything	David Graeber and David Wengrow	History	2021	https://openlibrary.org/search?q=The+Dawn+of+Everything	history anthropology society politics civilization
